"Media_dias_adelanto";"Veces_adelanto";"Media_dias_tarde";"Veces_atraso";"Blanco";"Incidencia";"No_Contacto";"No_Enviara";"Enviara";"Limpio";"Baja";"Depuracion";"Inc_Definitiva";"Inc_Provisional";"NoRecogido";"Tipo_Carta";"Tipo_Email";"Tipo_Fax";"Tipo_Otros";"Tipo_Telefono";"Tipo_Web";"Tiene_Gestoria";"No_Tiene_Gestoria"
"166090179SS";16.2173913043478;23;32;1;0;0;0;0;0;95.8333333333333;0;0;0;4.16666666666667;4.16666666666667;0;0;0;0;0;95.8333333333333;0;100
"166090519MM";5.83333333333333;12;22;4;0;0;31.25;0;0;0;56.25;0;12.5;0;100;0;0;0;0;0;0;0;100
"167030876MM";11.6944444444444;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"167030896MM";9;1;13.6363636363636;11;0;0;0;0;0;0;83.3333333333333;0;16.6666666666667;0;100;0;0;0;0;0;0;0;100
"167050517MM";7.66666666666667;3;33;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"167080411MM";0;0;17;2;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;100
"167080446MM";9;3;10;9;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;100
"167090083SS";9;2;29.5;2;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100
"167090560MM";9.75;16;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"168080201MM";0;1;13.6363636363636;11;0;0;0;0;0;0;83.3333333333333;0;16.6666666666667;0;100;0;0;0;0;0;0;100;0
"168090059SS";11.4722222222222;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;33.3333333333333;66.6666666666667
"168090070SS";17.0909090909091;11;12;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"168090165MM";12.6;15;31;1;0;0;0;0;0;100;0;0;0;0;0;6.25;0;0;0;0;93.75;0;100
"168090519MM";3.39130434782609;23;23.8;5;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"168090520MM";8.16129032258065;31;32.8;5;0;0;0;0;5.55555555555556;94.4444444444444;0;0;0;0;5.55555555555556;0;0;0;0;5.55555555555556;88.8888888888889;0;100
"169030850MM";7.59259259259259;27;43;1;0;0;0;25;0;67.8571428571429;0;0;0;7.14285714285714;32.1428571428571;0;0;3.57142857142857;0;64.2857142857143;0;0;100
"169040363MM";4.71428571428571;7;10;9;0;0;25;0;0;0;56.25;0;18.75;0;100;0;0;0;0;0;0;0;100
"169050509MM";7.25;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;97.2222222222222;2.77777777777778;0;100
"169050558MM";9.65714285714286;35;32;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"169060595MM";5;1;9.66666666666667;3;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;100
"169080412MM";10.7714285714286;35;34;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"169090049MM";6.82608695652174;23;21;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"169090144SS";10.3125;32;17;4;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;2.77777777777778;97.2222222222222;0;100
"170020854SS";12.4545454545455;11;7;1;0;0;0;0;0;100;0;0;0;0;0;50;0;0;0;50;0;0;100
"170030882MM";5.875;8;13;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"170030890MM";7.29032258064516;31;29.8;5;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;2.77777777777778;97.2222222222222;100;0
"170050597MM";13.9615384615385;26;22.5;2;0;0;0;0;0;100;0;0;0;0;0;3.57142857142857;0;0;0;96.4285714285714;0;0;100
"170060590MM";11.9722222222222;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;100;0
"170080433MM";10.5714285714286;35;13;1;0;0;0;0;0;100;0;0;0;0;0;2.77777777777778;94.4444444444444;0;0;2.77777777777778;0;100;0
"170090066SS";6;4;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;100;0
"171030815MM";9.85294117647059;34;20;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100
"171030844MM";7.92857142857143;14;22.5;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100
"171030845MM";8;3;36;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;100;0
"171030858MM";8.84848484848485;33;17;3;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"171030885MM";5.18518518518519;27;26.8888888888889;9;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;8.33333333333333;91.6666666666667;100;0
"171030895MM";10.4166666666667;12;30.5;2;0;0;0;0;0;100;0;0;0;0;0;7.14285714285714;0;0;0;92.8571428571429;0;0;100
"171050504MM";8.97142857142857;35;15;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100
"172020555SS";19;4;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"172020578SS";13.8214285714286;28;0;0;0;0;0;0;0;100;0;0;0;0;0;3.57142857142857;0;0;0;0;96.4285714285714;0;100
"172030187MM";4;10;1.5;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;8.33333333333333;91.6666666666667;0;100
"172030502SS";13.5714285714286;28;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"172030810MM";12.9166666666667;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"172030883MM";10.8;15;19;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"172030896MM";8.8;30;26.1666666666667;6;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;100;0
"172050512MM";11.25;16;63.25;8;0;0;0;0;0;62.5;33.3333333333333;0;4.16666666666667;0;37.5;0;0;0;0;0;62.5;100;0
"172090142MM";6.75;12;65;4;0;0;6.25;0;0;93.75;0;0;0;0;6.25;0;0;0;0;0;93.75;0;100
"173030814MM";10.6875;16;35;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;5.88235294117647;94.1176470588235;0;100
"173030821MM";8.67647058823529;34;25.5;2;0;0;2.77777777777778;0;0;94.4444444444444;0;0;0;2.77777777777778;5.55555555555556;0;0;0;0;94.4444444444444;0;0;100
"173050580MM";7;16;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;25;75;0;100
"173090043SS";5.79411764705882;34;34.5;2;0;0;0;0;0;66.6666666666667;0;0;30.5555555555556;2.77777777777778;33.3333333333333;0;0;0;0;2.77777777777778;63.8888888888889;0;100
"173090098MM";8.8;20;29.5;4;0;0;0;0;0;75;20.8333333333333;0;0;4.16666666666667;25;0;0;0;0;70.8333333333333;4.16666666666667;0;100
"174030815MM";7.33333333333333;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"174030838MM";5.72222222222222;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100
"174060488MM";9.58333333333333;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;5.55555555555556;0;0;2.77777777777778;91.6666666666667;0;100
"174090049MM";10.2857142857143;35;34;1;0;0;0;0;0;100;0;0;0;0;0;0;19.4444444444444;0;0;0;80.5555555555556;0;100
"174090107SS";18.125;24;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"175030833MM";14;2;14.1;10;0;0;0;0;0;8.33333333333333;83.3333333333333;0;8.33333333333333;0;91.6666666666667;0;0;0;0;0;8.33333333333333;100;0
"175030859MM";3.63636363636364;11;2;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;100;0
"175030876MM";8.82608695652174;23;20;1;0;0;0;0;0;79.1666666666667;0;0;20.8333333333333;0;20.8333333333333;0;0;0;0;0;79.1666666666667;100;0
"175030877MM";9.52173913043478;23;18.6923076923077;13;0;0;0;0;0;69.4444444444444;22.2222222222222;0;8.33333333333333;0;30.5555555555556;0;0;0;0;0;69.4444444444444;100;0
"175050522MM";9.25;20;22.4615384615385;13;0;0;0;0;0;63.6363636363636;27.2727272727273;0;9.09090909090909;0;36.3636363636364;3.03030303030303;0;0;0;60.6060606060606;0;0;100
"175050570MM";9;13;23;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;7.14285714285714;92.8571428571429;100;0
"176030809MM";10.4444444444444;9;0;0;0;0;0;0;0;100;0;0;0;0;0;0;11.1111111111111;0;0;11.1111111111111;77.7777777777778;0;100
"176030864MM";8.85;20;32;4;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"176030870MM";7.75;4;0;0;0;0;0;0;0;75;0;0;0;25;25;0;0;0;0;75;0;0;100
"176030882MM";5.44;25;60;11;0;0;11.1111111111111;0;2.77777777777778;75;0;0;11.1111111111111;0;25;0;0;0;0;52.7777777777778;22.2222222222222;0;100
"176060581MM";13.6538461538462;26;11.2;10;0;0;0;0;0;100;0;0;0;0;0;0;2.77777777777778;0;0;94.4444444444444;2.77777777777778;100;0
"176080429MM";10.6;15;34;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"176090063SS";11;4;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"176090150SS";15.6875;16;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"177030826MM";6.52;25;10.1818181818182;11;0;0;0;0;0;69.4444444444444;25;0;5.55555555555556;0;30.5555555555556;0;0;0;0;0;69.4444444444444;100;0
"177030828MM";7.33333333333333;6;41.5;6;0;0;0;0;0;91.6666666666667;0;0;0;8.33333333333333;8.33333333333333;8.33333333333333;0;16.6666666666667;0;33.3333333333333;33.3333333333333;100;0
"177030878MM";6.5;12;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"177030893MM";10;2;12.75;12;0;0;28.5714285714286;0;0;0;64.2857142857143;0;7.14285714285714;0;100;0;0;0;0;0;0;0;100
"177090023SS";9.48484848484848;33;7.66666666666667;3;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;66.6666666666667;33.3333333333333
"177090066SS";9.25806451612903;31;24.6;5;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;50;50;0;100
"177090097SS";13.4285714285714;28;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"178030822MM";10;3;16.7272727272727;11;0;0;0;0;0;0;64.2857142857143;0;28.5714285714286;7.14285714285714;100;0;0;0;0;0;0;0;100
"178030846MM";6.71428571428571;7;30;1;0;0;0;0;0;100;0;0;0;0;0;12.5;0;0;0;25;62.5;0;100
"178030881MM";9.30555555555556;36;0;0;0;0;0;0;0;97.2222222222222;0;0;0;2.77777777777778;2.77777777777778;0;0;0;0;97.2222222222222;0;0;100
"178090172SS";17.9583333333333;24;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"179030371SS";15.8333333333333;12;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"179030811MM";8.41935483870968;31;25;5;0;0;0;0;0;88.8888888888889;0;0;0;11.1111111111111;11.1111111111111;0;0;0;0;88.8888888888889;0;0;100
"179030851MM";8.84848484848485;33;17;3;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"179030882MM";11.25;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;33.3333333333333;0;0;16.6666666666667;50;0;100
"179090040SS";13.1666666666667;6;2.16666666666667;6;0;0;0;0;0;25;0;0;0;75;75;0;0;0;0;25;0;0;100
"180030113MM";4.5;12;24;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;7.14285714285714;92.8571428571429;0;100
"180030114SS";15.8333333333333;24;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"180030899MM";6.94117647058824;34;36;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"180090075MM";5.75;4;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;25;0;75;0;100
"180090076MM";4.06666666666667;15;36.5384615384615;13;0;0;0;0;0;100;0;0;0;0;0;0;100;0;0;0;0;0;100
"181020497SS";10.4285714285714;35;34;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"181030138MM";0;0;13.5;4;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;100
"181030148SS";9.64285714285714;14;48;2;0;0;12.5;0;0;56.25;0;0;31.25;0;43.75;0;0;0;0;0;56.25;0;100
"181030165MM";10.5555555555556;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"181030852MM";5.69565217391304;23;63.8;10;0;0;3.03030303030303;0;0;96.969696969697;0;0;0;0;3.03030303030303;0;12.1212121212121;0;0;66.6666666666667;18.1818181818182;0;100
"181030854MM";8.14705882352941;34;36;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"181030894MM";6.5;4;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100
"181050536MM";7;35;21;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100
"181060483MM";8.69444444444444;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"181090044SS";10.1875;16;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;6.25;93.75;0;100
"181090087SS";11.0857142857143;35;35;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"182030819MM";7.92;25;12.3333333333333;9;0;0;0;0;0;76.4705882352941;23.5294117647059;0;0;0;23.5294117647059;0;0;0;0;76.4705882352941;0;0;100
"182030835MM";7.09090909090909;11;68.3333333333333;3;0;0;0;0;0;100;0;0;0;0;0;0;14.2857142857143;0;0;0;85.7142857142857;85.7142857142857;14.2857142857143
"182030862MM";11.3333333333333;9;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"182030870MM";8.66666666666667;3;19;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100
"182030897MM";12.5;4;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"182090065MM";9.35294117647059;34;41;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"182090098SS";15.6285714285714;35;7;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"183030839MM";13.25;36;0;0;0;0;0;0;0;100;0;0;0;0;0;2.77777777777778;77.7777777777778;0;0;19.4444444444444;0;0;100
"183030870MM";5.91428571428571;35;2;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;100;0
"183030871MM";9;3;25;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100
"183030880MM";6.39130434782609;23;1;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"183060569SS";10.125;16;0;0;0;0;0;0;0;100;0;0;0;0;0;6.25;0;0;0;0;93.75;0;100
"183090029SS";11.3461538461538;26;24.5;2;0;0;0;0;0;100;0;0;0;0;0;3.57142857142857;0;0;3.57142857142857;0;92.8571428571429;85.7142857142857;14.2857142857143
"183090042MM";8;1;50.125;8;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;88.8888888888889;11.1111111111111;0;100
"184020755SS";9.5;8;2;4;0;0;0;0;0;33.3333333333333;0;0;0;66.6666666666667;66.6666666666667;0;0;0;0;8.33333333333333;25;0;100
"184030812MM";3.5;2;41;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100
"184030815MM";9.5;6;10;6;0;0;0;0;0;41.6666666666667;50;0;0;8.33333333333333;58.3333333333333;0;0;0;0;41.6666666666667;0;0;100
"184030832MM";12.3076923076923;13;15;1;0;0;7.14285714285714;0;0;92.8571428571429;0;0;0;0;7.14285714285714;0;0;0;0;0;92.8571428571429;100;0
"184030871MM";13.6666666666667;12;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"184090052MM";9.28571428571429;28;71.25;8;0;0;0;0;0;100;0;0;0;0;0;0;2.77777777777778;0;0;22.2222222222222;75;100;0
"185020989SS";5.19444444444444;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100
"185030126MM";11.6666666666667;6;10;6;0;0;0;0;0;41.6666666666667;50;0;8.33333333333333;0;58.3333333333333;0;0;0;0;0;41.6666666666667;100;0
"185030409SS";18.8333333333333;12;0;0;0;0;0;0;0;58.3333333333333;0;0;25;16.6666666666667;41.6666666666667;0;0;0;0;0;58.3333333333333;0;100
"185030806MM";5.23076923076923;13;35.3333333333333;3;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;18.75;81.25;0;100
"185030814MM";10.75;12;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100
"185030836MM";8.90625;32;22.5;4;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100
"185030879MM";7.20588235294118;34;36;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"185030885MM";8.38461538461539;26;31.5;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;3.57142857142857;96.4285714285714;100;0
"185030898MM";5.08571428571429;35;1;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"185090051SS";11.5;4;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"186020969MM";2;1;13.6363636363636;11;0;0;0;0;0;0;83.3333333333333;0;16.6666666666667;0;100;0;0;0;0;0;0;0;100
"186030811MM";10.96875;32;37;4;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"186030823MM";9.95833333333333;24;12;12;0;0;0;0;0;61.1111111111111;22.2222222222222;0;8.33333333333333;8.33333333333333;38.8888888888889;0;0;0;0;61.1111111111111;0;0;100
"186030825MM";14.125;16;11.375;8;0;0;0;0;0;66.6666666666667;29.1666666666667;0;4.16666666666667;0;33.3333333333333;0;0;0;0;66.6666666666667;0;0;100
"186030865MM";16;1;10.5;8;0;0;0;0;0;0;77.7777777777778;0;22.2222222222222;0;100;0;0;0;0;0;0;0;100
"186030871MM";6.53125;32;64.5;4;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100
"186040956MM";8.58333333333333;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"186050511MM";8.375;32;25.5;4;0;0;2.77777777777778;0;0;97.2222222222222;0;0;0;0;2.77777777777778;0;0;0;0;0;97.2222222222222;100;0
"186060539MM";10.5;4;7;8;0;0;0;0;0;16.6666666666667;66.6666666666667;0;8.33333333333333;8.33333333333333;83.3333333333333;0;0;0;0;16.6666666666667;0;0;100
"187020996SS";13;4;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"187030819MM";4.42857142857143;7;61.8888888888889;9;0;0;25;0;0;75;0;0;0;0;25;0;0;0;0;75;0;0;100
"187030824MM";5;35;1;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"187030853MM";4.41666666666667;12;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"187030890MM";12.0909090909091;11;31.6666666666667;3;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;100;0
"187030895MM";5;35;1;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"187050536MM";8.44444444444444;9;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;88.8888888888889;11.1111111111111;0;100
"187090048SS";4;2;4;2;0;0;0;0;0;100;0;0;0;0;0;0;75;0;0;25;0;0;100
"187090094SS";11.9375;16;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"188020978SS";5.66666666666667;12;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"188030800MM";9.5;14;0;0;0;0;0;0;0;85.7142857142857;0;0;0;14.2857142857143;14.2857142857143;0;14.2857142857143;0;0;57.1428571428571;14.2857142857143;0;100
"188030887MM";12;1;13.6363636363636;11;0;0;0;0;0;0;83.3333333333333;0;16.6666666666667;0;100;0;0;0;0;0;0;0;100
"188030892MM";5;35;1;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"189020903SS";8.07142857142857;14;125.714285714286;14;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;7.14285714285714;92.8571428571429;0;100
"189030844MM";10.5;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;2.77777777777778;0;0;97.2222222222222;0;0;100
"189030849MM";8.70588235294118;34;33;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100
"189030869MM";0;0;63.8333333333333;6;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;100
"189090029SS";16.8571428571429;28;0;0;0;0;0;0;0;85.7142857142857;0;0;0;14.2857142857143;14.2857142857143;0;0;0;0;0;85.7142857142857;0;100
"189090055SS";12.3888888888889;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;2.77777777777778;97.2222222222222;0;100
"189090073SS";8.57692307692308;26;16.5;2;0;0;0;0;0;100;0;0;0;0;0;0;3.57142857142857;0;0;3.57142857142857;92.8571428571429;0;100
"190030808MM";6.875;16;26.4;5;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;100;0
"190030809MM";10.0625;32;27.25;4;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100
"190060500SS";22.4375;16;0;0;0;0;0;0;0;31.25;0;0;68.75;0;68.75;0;0;0;0;0;31.25;0;100
"190090004SS";16.6;35;5;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"191030705SS";7.25;12;0;0;0;0;0;0;0;91.6666666666667;0;0;8.33333333333333;0;8.33333333333333;0;0;0;0;0;91.6666666666667;100;0
"191030752MM";11.0416666666667;24;0;0;0;0;0;0;0;75;20.8333333333333;0;4.16666666666667;0;25;0;0;0;0;0;75;0;100
"191030807MM";8.75;4;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100
"191060446MM";11.5;4;0;0;0;0;0;0;0;100;0;0;0;0;0;25;0;0;0;0;75;0;100
"191090002SS";13.3823529411765;34;9.5;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;44.4444444444444;55.5555555555556;0;100
"191090035SS";3.5;2;46.5;2;0;0;0;0;0;75;0;0;0;25;25;0;0;0;0;50;25;0;100
"191090047MM";13.6666666666667;12;0;0;0;0;0;0;0;50;41.6666666666667;0;0;8.33333333333333;50;0;0;0;0;50;0;0;100
"191090094SS";16.4166666666667;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;5.55555555555556;94.4444444444444;0;100
"192030808MM";10.5;16;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;81.25;18.75;75;25
"192030818MM";12.3333333333333;3;43;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"192030891MM";0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100
"192060403MM";12.5;14;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"193020859SS";18.3142857142857;35;2;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;2.77777777777778;97.2222222222222;100;0
"193030104MM";5.3030303030303;33;6.33333333333333;3;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;2.77777777777778;97.2222222222222;33.3333333333333;66.6666666666667
"193030115SS";17.25;12;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"193030126SS";13.8636363636364;22;29.5;2;0;0;0;0;0;75;0;0;0;25;25;0;0;0;0;8.33333333333333;66.6666666666667;100;0
"193030218SS";5.375;24;51.5;4;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100
"193080369MM";8.90909090909091;11;41;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"193090021SS";17.9166666666667;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"194030787MM";10.3611111111111;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"194080333MM";11.7714285714286;35;1;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"194080336MM";4.09090909090909;22;32.1666666666667;6;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;3.57142857142857;96.4285714285714;0;100
"194080378MM";10.3333333333333;3;35;1;0;0;0;0;0;100;0;0;0;0;0;0;25;0;0;0;75;0;100
"194090042SS";14.7333333333333;15;33;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;75;25
"194090044SS";15.75;4;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"195030502SS";17.625;16;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"195030505SS";16.5;12;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"195030805MM";2.14285714285714;7;32;2;0;0;44.4444444444444;11.1111111111111;0;44.4444444444444;0;0;0;0;55.5555555555556;0;0;0;11.1111111111111;0;33.3333333333333;0;100
"195030813MM";1.75;4;13.9166666666667;12;0;0;25;0;0;0;56.25;0;18.75;0;100;0;0;0;0;0;0;0;100
"195030817MM";4.5;4;0;0;0;0;75;0;0;0;0;0;25;0;100;0;0;0;0;0;0;0;100
"195080367MM";7.25;8;31;1;0;0;0;0;0;100;0;0;0;0;0;11.1111111111111;0;0;0;0;88.8888888888889;0;100
"195090097SS";6.53846153846154;13;25.5454545454545;11;0;0;0;0;0;100;0;0;0;0;0;0;4.16666666666667;0;0;0;95.8333333333333;100;0
"196010772SS";6.69230769230769;26;3.5;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;42.8571428571429;57.1428571428571
"196030821MM";8.64285714285714;14;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100
"196080394MM";4.42105263157895;19;38.3333333333333;9;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;3.57142857142857;96.4285714285714;0;100
"197030816MM";5;23;2;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;100;0
"197090065SS";10.6666666666667;3;12;1;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;100
"198030512SS";16.4444444444444;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"198030577SS";18.25;4;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"198060387MM";12.0833333333333;12;25.5;4;0;0;0;0;0;56.25;43.75;0;0;0;43.75;0;0;0;0;0;56.25;0;100
"198080362MM";7.75;16;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"199030073SS";6.05;20;23.5;4;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;8.33333333333333;91.6666666666667;0;100
"199080395MM";8.33333333333333;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"199090037SS";10.4666666666667;15;33;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
