NORDENTRANS;CODENCUEST;ANO;MES;RESULTA;FECRESULTA;ENVIO;TIPOREGIST;SGSPRIGRAB;SGSTOTDEPU;NUMACCDEPU;SWGESTORIA;CODTAME
026000089SS;S;2015;1;6;05/02/2015;11502;W;0;45;1;0;0
026000089SS;S;2015;2;6;05/03/2015;21502;W;0;10;1;0;0
026000089SS;S;2015;3;6;06/04/2015;31502;W;0;8;1;0;0
026000089SS;S;2015;4;6;19/05/2015;41502;W;0;61;3;0;0
026000089SS;S;2015;5;6;05/06/2015;51502;W;0;21;1;0;0
026000089SS;S;2015;6;6;07/07/2015;61502;W;0;16;1;0;0
026000089SS;S;2015;7;6;18/08/2015;71502;W;0;453;2;0;0
026000089SS;S;2015;8;6;07/09/2015;81502;W;0;24;1;0;0
026000089SS;S;2015;9;6;07/10/2015;91502;W;0;14;1;0;0
026000089SS;S;2015;10;6;04/11/2015;101502;W;0;13;1;0;0
026000089SS;S;2015;11;6;17/12/2015;111502;W;0;35;2;0;0
026000089SS;S;2015;12;6;19/01/2016;121502;W;0;49;3;0;0
088000449MM;M;2015;1;6;16/02/2015;11502;W;0;66;1;0;12
088000449MM;M;2015;2;6;03/03/2015;21502;W;0;86;1;0;12
088000449MM;M;2015;3;6;06/04/2015;31502;W;0;10;2;0;12
088000449MM;M;2015;4;6;06/05/2015;41502;W;0;16;1;0;12
088000449MM;M;2015;5;6;04/06/2015;51502;W;0;35;1;0;12
088000449MM;M;2015;6;6;06/07/2015;61502;W;0;13;1;0;12
088000449MM;M;2015;7;6;14/08/2015;71502;W;0;55;2;0;12
088000449MM;M;2015;8;6;14/09/2015;81502;W;0;23;1;0;12
088000449MM;M;2015;9;6;07/10/2015;91502;W;0;25;2;0;12
088000449MM;M;2015;10;6;03/11/2015;101502;W;0;14;1;0;12
088000449MM;M;2015;11;6;04/12/2015;111502;W;0;52;1;0;12
088000449MM;M;2015;12;6;18/01/2016;121502;W;0;50;3;0;12
040010062MM;M;2015;9;6;14/10/2015;91502;T;62;18;2;0;12
040010062MM;M;2015;10;6;13/11/2015;101502;W;0;62;2;0;12
040010062MM;M;2015;11;6;02/12/2015;111502;W;0;27;1;0;12
040010062MM;M;2015;12;6;11/01/2016;121502;W;0;12;1;0;12
034010928MM;M;2015;1;6;09/03/2015;21502;T;36;39;2;0;13
034010928MM;M;2015;2;6;05/03/2015;21502;W;0;21;4;0;13
034010928MM;M;2015;3;6;10/04/2015;31502;W;0;14;1;0;13
034010928MM;M;2015;4;6;06/05/2015;41502;W;0;19;1;0;13
034010928MM;M;2015;5;6;05/06/2015;51502;W;0;16;1;0;13
034010928MM;M;2015;6;6;06/07/2015;61502;W;0;12;1;0;13
034010928MM;M;2015;7;6;05/08/2015;71502;W;0;11;1;0;13
034010928MM;M;2015;8;6;04/09/2015;81502;W;0;45;1;0;13
034010928MM;M;2015;9;6;07/10/2015;91502;W;0;43;1;0;13
034010928MM;M;2015;10;6;03/11/2015;101502;W;0;56;2;0;13
034010928MM;M;2015;11;6;03/12/2015;111502;W;0;71;1;0;13
034010928MM;M;2015;12;6;11/01/2016;121502;W;0;56;1;0;13
051010953MM;M;2015;1;6;11/02/2015;11502;W;0;8;1;0;0
051010953MM;M;2015;2;6;12/03/2015;21502;W;0;16;1;0;0
051010953MM;M;2015;3;6;09/04/2015;31502;W;0;10;1;0;0
051010953MM;M;2015;4;6;15/05/2015;41502;W;0;12;1;0;0
051010953MM;M;2015;5;6;11/06/2015;51502;W;0;20;1;0;0
051010953MM;M;2015;6;6;13/07/2015;61502;W;0;12;1;0;0
051010953MM;M;2015;7;6;14/08/2015;71502;T;22;11;1;0;0
051010953MM;M;2015;8;6;15/09/2015;81502;W;0;11;1;0;0
051010953MM;M;2015;9;6;15/10/2015;91502;W;0;12;1;0;0
051010953MM;M;2015;10;6;12/11/2015;101502;W;0;15;1;0;0
051010953MM;M;2015;11;6;09/12/2015;111502;W;0;12;1;0;0
051010953MM;M;2015;12;6;11/01/2016;121502;W;0;30;1;0;0
051010996MM;M;2015;1;6;23/02/2015;21502;W;0;39;1;1;12
051010996MM;M;2015;2;6;16/03/2015;21502;W;0;27;1;1;12
051010996MM;M;2015;3;6;17/04/2015;31502;W;0;37;1;1;12
051010996MM;M;2015;4;6;14/05/2015;41502;W;0;423;1;1;12
051010996MM;M;2015;5;6;18/06/2015;51502;W;0;38;1;1;12
051010996MM;M;2015;6;6;20/07/2015;61502;W;0;42;2;1;12
051010996MM;M;2015;7;6;12/08/2015;71502;W;0;19;1;1;12
051010996MM;M;2015;8;6;17/09/2015;81502;W;0;8;1;1;12
051010996MM;M;2015;9;6;20/10/2015;101502;W;0;14;1;1;12
051010996MM;M;2015;10;6;17/11/2015;101502;W;0;10;2;1;12
051010996MM;M;2015;11;6;14/12/2015;111502;W;0;12;1;1;12
051010996MM;M;2015;12;6;12/01/2016;121502;W;0;199;4;1;12
074010914MM;M;2015;1;6;09/02/2015;11502;W;0;46;1;1;0
074010914MM;M;2015;2;6;16/03/2015;21502;W;0;29;1;1;0
074010914MM;M;2015;3;6;10/04/2015;31502;W;0;15;1;1;0
074010914MM;M;2015;4;6;12/05/2015;41502;W;0;26;1;1;0
074010914MM;M;2015;5;6;16/06/2015;51502;W;0;45;1;1;0
074010914MM;M;2015;6;6;09/07/2015;61502;W;0;44;1;1;0
074010914MM;M;2015;7;6;07/08/2015;71502;W;0;17;1;1;0
074010914MM;M;2015;8;6;10/09/2015;81502;W;0;16;1;1;0
074010914MM;M;2015;9;6;09/10/2015;91502;W;0;13;1;1;0
074010914MM;M;2015;10;6;17/11/2015;101502;W;0;56;1;1;0
074010914MM;M;2015;11;6;15/12/2015;111502;W;0;11;1;1;0
074010914MM;M;2015;12;6;19/01/2016;11602;W;0;49;1;1;0
070010916MM;M;2015;1;6;12/02/2015;11502;W;0;11;1;1;12
070010916MM;M;2015;2;6;05/03/2015;21502;W;0;16;2;1;12
070010916MM;M;2015;3;6;20/04/2015;31502;T;36;10;1;1;12
070010916MM;M;2015;4;6;18/05/2015;41502;W;0;11;1;1;12
070010916MM;M;2015;5;6;10/06/2015;51502;W;0;9;1;1;12
070010916MM;M;2015;6;6;15/07/2015;61502;W;0;12;1;1;12
070010916MM;M;2015;7;6;19/08/2015;81502;W;0;14;1;1;12
070010916MM;M;2015;8;6;07/09/2015;81502;W;0;10;1;1;12
070010916MM;M;2015;9;6;02/10/2015;91502;W;0;11;1;1;12
070010916MM;M;2015;10;6;05/11/2015;101502;W;0;11;2;1;12
070010916MM;M;2015;11;6;02/12/2015;111502;W;0;15;1;1;12
070010916MM;M;2015;12;6;05/01/2016;121502;W;0;21;1;1;12
070010917MM;M;2015;1;6;18/02/2015;11502;W;0;12;1;1;13
070010917MM;M;2015;2;6;06/03/2015;21502;W;0;16;1;1;13
070010917MM;M;2015;3;6;07/04/2015;31502;W;0;19;1;1;13
070010917MM;M;2015;4;6;07/05/2015;41502;W;0;16;1;1;13
070010917MM;M;2015;5;6;04/06/2015;51502;W;0;19;1;1;13
070010917MM;M;2015;6;6;08/07/2015;61502;W;0;7;1;1;13
070010917MM;M;2015;7;6;04/08/2015;71502;W;0;9;1;1;13
070010917MM;M;2015;8;6;04/09/2015;81502;W;0;18;1;1;13
070010917MM;M;2015;9;6;07/10/2015;91502;W;0;11;1;1;13
070010917MM;M;2015;10;6;06/11/2015;101502;W;0;12;1;1;13
070010917MM;M;2015;11;6;03/12/2015;111502;W;0;94;1;1;13
070010917MM;M;2015;12;6;11/01/2016;121502;W;0;26;1;1;13
077010937MM;M;2015;1;6;20/02/2015;21502;T;42;8;2;0;0
077010937MM;M;2015;2;6;16/03/2015;21502;T;26;86;1;0;0
077010937MM;M;2015;3;6;17/04/2015;31502;T;31;117;2;0;0
077010937MM;M;2015;4;6;11/05/2015;41502;T;19;57;1;0;0
077010937MM;M;2015;5;6;09/06/2015;51502;T;25;23;2;0;0
077010937MM;M;2015;6;6;07/07/2015;61502;T;22;16;1;0;0
077010937MM;M;2015;7;6;13/08/2015;71502;T;22;26;1;0;0
077010937MM;M;2015;8;6;08/10/2015;91502;T;18;17;1;0;0
077010937MM;M;2015;9;6;13/11/2015;101502;T;22;680;3;0;0
077010937MM;M;2015;10;6;13/11/2015;101502;T;62;454;9;0;0
077010937MM;M;2015;11;6;15/12/2015;111502;T;54;115;3;0;0
077010937MM;M;2015;12;6;12/01/2016;121502;T;6;82;1;0;0
078010950MM;M;2015;1;6;10/02/2015;11502;W;0;12;1;1;11
078010950MM;M;2015;2;6;09/03/2015;21502;W;0;23;1;1;11
078010950MM;M;2015;3;6;07/04/2015;31502;W;0;16;1;1;11
078010950MM;M;2015;4;6;08/05/2015;41502;W;0;24;1;1;11
078010950MM;M;2015;5;6;08/06/2015;51502;W;0;15;1;1;11
078010950MM;M;2015;6;6;02/07/2015;61502;W;0;24;1;1;11
078010950MM;M;2015;7;6;07/08/2015;71502;W;0;19;1;1;11
078010950MM;M;2015;8;6;07/09/2015;81502;W;0;24;1;1;11
078010950MM;M;2015;9;6;07/10/2015;91502;W;0;13;1;1;11
078010950MM;M;2015;10;6;09/11/2015;101502;W;0;26;1;1;11
078010950MM;M;2015;11;6;05/12/2015;111502;W;0;14;2;1;11
078010950MM;M;2015;12;6;11/01/2016;121502;W;0;15;1;1;11
084010904MM;M;2015;1;6;11/02/2015;11502;W;0;64;1;1;13
084010904MM;M;2015;2;6;11/03/2015;21502;W;0;10;1;1;13
084010904MM;M;2015;3;6;13/04/2015;31502;W;0;13;1;1;13
084010904MM;M;2015;4;6;13/05/2015;41502;W;0;39;1;1;13
084010904MM;M;2015;5;6;09/06/2015;51502;W;0;20;1;1;13
084010904MM;M;2015;6;6;13/07/2015;61502;W;0;8;1;1;13
084010904MM;M;2015;7;6;15/09/2015;81502;W;0;12;1;1;13
084010904MM;M;2015;8;6;09/09/2015;81502;W;0;10;1;1;13
084010904MM;M;2015;9;6;14/10/2015;91502;W;0;11;1;1;13
084010904MM;M;2015;10;6;11/11/2015;101502;W;0;12;1;1;13
084010904MM;M;2015;11;6;11/12/2015;111502;W;0;17;2;1;13
084010904MM;M;2015;12;6;12/01/2016;121502;W;0;16;2;1;13
083010905MM;M;2015;1;6;04/02/2015;11502;W;0;15;1;1;11
083010905MM;M;2015;2;6;09/03/2015;21502;W;0;16;1;1;11
083010905MM;M;2015;3;6;06/04/2015;31502;W;0;12;1;1;11
083010905MM;M;2015;4;6;06/05/2015;41502;W;0;19;1;1;11
083010905MM;M;2015;5;6;04/06/2015;51502;W;0;262;1;1;11
083010905MM;M;2015;6;6;06/07/2015;61502;W;0;9;1;1;11
083010905MM;M;2015;7;6;05/08/2015;71502;W;0;9;1;1;11
083010905MM;M;2015;8;6;08/09/2015;81502;W;0;49;1;1;11
083010905MM;M;2015;9;6;07/10/2015;91502;W;0;14;1;1;11
083010905MM;M;2015;10;6;06/11/2015;101502;W;0;15;1;1;11
083010905MM;M;2015;11;6;03/12/2015;111502;W;0;11;1;1;11
083010905MM;M;2015;12;6;11/01/2016;121502;W;0;44;1;1;11
089010937MM;M;2015;9;6;18/12/2015;121502;T;21;65;4;1;0
089010937MM;M;2015;10;6;18/12/2015;121502;T;19;47;5;1;0
089010937MM;M;2015;11;6;18/12/2015;121502;W;0;130;8;1;0
089010937MM;M;2015;12;6;11/01/2016;121502;W;0;74;2;1;0
098010931MM;M;2015;1;6;16/02/2015;11502;W;0;104;1;1;12
098010931MM;M;2015;2;6;18/03/2015;21502;W;0;99;1;1;12
098010931MM;M;2015;3;6;15/04/2015;31502;W;0;63;1;1;12
098010931MM;M;2015;4;6;11/05/2015;41502;W;0;25;1;1;12
098010931MM;M;2015;5;6;08/06/2015;51502;W;0;27;1;1;12
098010931MM;M;2015;6;6;14/07/2015;61502;W;0;10;1;1;12
098010931MM;M;2015;7;6;13/08/2015;71502;W;0;28;1;1;12
098010931MM;M;2015;8;6;10/09/2015;81502;W;0;6;1;1;12
098010931MM;M;2015;9;6;13/10/2015;91502;W;0;11;1;1;12
098010931MM;M;2015;10;6;09/11/2015;101502;W;0;9;1;1;12
098010931MM;M;2015;11;6;09/12/2015;111502;W;0;11;1;1;12
098010931MM;M;2015;12;6;18/01/2016;121502;W;0;15;1;1;12
093010953MM;M;2015;5;7;25/05/2015;51502;;0;0;0;0;0
093010953MM;M;2015;6;7;25/05/2015;61502;;0;0;0;0;0
093010953MM;M;2015;7;7;25/05/2015;71502;;0;0;0;0;0
093010953MM;M;2015;8;7;25/05/2015;81502;;0;0;0;0;0
093010953MM;M;2015;9;7;25/05/2015;91502;;0;0;0;0;0
093010953MM;M;2015;10;7;25/05/2015;101502;;0;0;0;0;0
093010953MM;M;2015;11;7;25/05/2015;111502;;0;0;0;0;0
093010953MM;M;2015;12;7;25/05/2015;121502;;0;0;0;0;0
093010953MM;M;2015;4;9;18/05/2015;41502;;0;0;0;0;0
093010988MM;M;2015;1;6;11/02/2015;11502;W;0;25;1;1;0
093010988MM;M;2015;2;6;06/03/2015;21502;W;0;31;1;1;0
093010988MM;M;2015;3;6;16/04/2015;31502;W;0;30;1;1;0
093010988MM;M;2015;4;6;13/05/2015;41502;W;0;32;1;1;0
093010988MM;M;2015;5;6;15/06/2015;51502;W;0;60;1;1;0
093010988MM;M;2015;6;6;14/07/2015;61502;W;0;101;1;1;0
093010988MM;M;2015;7;6;14/08/2015;71502;W;0;26;1;1;0
093010988MM;M;2015;8;6;10/09/2015;81502;W;0;32;1;1;0
093010988MM;M;2015;9;6;13/10/2015;91502;W;0;54;2;1;0
093010988MM;M;2015;10;6;11/11/2015;101502;W;0;45;1;1;0
093010988MM;M;2015;11;6;10/12/2015;111502;W;0;34;1;1;0
093010988MM;M;2015;12;6;13/01/2016;121502;W;0;77;1;1;0
000020001MM;M;2015;4;3;18/05/2015;41502;;0;0;0;0;14
000020001MM;M;2015;9;4;14/10/2015;91502;;0;0;0;0;14
000020001MM;M;2015;11;4;11/12/2015;111502;;0;0;0;0;14
000020001MM;M;2015;5;5;18/06/2015;51502;;0;0;0;0;14
000020001MM;M;2015;6;5;15/07/2015;61502;;0;0;0;0;14
000020001MM;M;2015;7;5;18/08/2015;71502;;0;0;0;0;14
000020001MM;M;2015;8;5;14/09/2015;81502;;0;0;0;0;14
000020001MM;M;2015;10;5;13/11/2015;101502;;0;0;0;0;14
000020001MM;M;2015;1;6;18/02/2015;11502;W;0;222;2;0;14
000020001MM;M;2015;2;6;18/03/2015;21502;W;0;108;1;0;14
000020001MM;M;2015;3;6;24/04/2015;41502;W;0;90;2;0;14
000020001MM;M;2015;12;8;18/02/2016;11602;F;116;77;4;0;14
001020063MM;M;2015;1;6;10/02/2015;11502;W;0;53;2;1;12
001020063MM;M;2015;2;6;09/03/2015;21502;W;0;55;1;1;12
001020063MM;M;2015;3;6;09/04/2015;31502;W;0;89;1;1;12
001020063MM;M;2015;4;6;06/05/2015;41502;W;0;36;1;1;12
001020063MM;M;2015;5;6;04/06/2015;51502;W;0;28;1;1;12
001020063MM;M;2015;6;6;02/07/2015;61502;W;0;19;1;1;12
001020063MM;M;2015;7;6;04/08/2015;71502;W;0;50;1;1;12
001020063MM;M;2015;8;6;10/09/2015;81502;W;0;20;1;1;12
001020063MM;M;2015;9;6;08/10/2015;91502;W;0;10;1;1;12
001020063MM;M;2015;10;6;05/11/2015;101502;W;0;9;2;1;12
001020063MM;M;2015;11;6;10/12/2015;111502;W;0;11;1;1;12
001020063MM;M;2015;12;6;05/01/2016;121502;W;0;9;1;1;12
010020091MM;M;2015;1;6;09/02/2015;11502;W;0;50;1;0;0
010020091MM;M;2015;2;6;11/03/2015;21502;W;0;12;1;0;0
010020091MM;M;2015;3;6;01/04/2015;31502;W;0;77;1;0;0
010020091MM;M;2015;4;6;11/05/2015;41502;W;0;16;1;0;0
010020091MM;M;2015;5;6;18/06/2015;51502;W;0;65;4;0;0
010020091MM;M;2015;6;6;08/07/2015;61502;W;0;32;1;0;0
010020091MM;M;2015;7;6;17/08/2015;71502;W;0;14;1;0;0
010020091MM;M;2015;8;6;16/09/2015;81502;W;0;65;2;0;0
010020091MM;M;2015;9;6;07/10/2015;91502;W;0;22;1;0;0
010020091MM;M;2015;10;6;11/11/2015;101502;W;0;12;1;0;0
010020091MM;M;2015;11;6;15/12/2015;111502;W;0;126;2;0;0
010020091MM;M;2015;12;6;15/01/2016;121502;W;0;22;1;0;0
028020065MM;M;2015;1;6;16/02/2015;11502;W;0;304;2;0;0
028020065MM;M;2015;2;6;16/03/2015;21502;W;0;227;2;0;0
028020065MM;M;2015;3;6;06/04/2015;31502;W;0;35;3;0;0
028020065MM;M;2015;4;6;12/05/2015;41502;W;0;77;1;0;0
028020065MM;M;2015;5;6;03/06/2015;51502;W;0;43;1;0;0
028020065MM;M;2015;6;6;09/07/2015;61502;W;0;75;1;0;0
028020065MM;M;2015;7;6;05/08/2015;71502;W;0;30;1;0;0
028020065MM;M;2015;8;6;07/09/2015;81502;W;0;35;1;0;0
028020065MM;M;2015;9;6;02/10/2015;91502;W;0;30;1;0;0
028020065MM;M;2015;10;6;06/11/2015;101502;W;0;32;1;0;0
028020065MM;M;2015;11;6;10/12/2015;111502;W;0;34;1;0;0
028020065MM;M;2015;12;6;13/01/2016;121502;W;0;133;1;0;0
039020084MM;M;2015;3;7;29/04/2015;41502;;0;0;0;0;0
039020084MM;M;2015;4;7;29/04/2015;41502;;0;0;0;0;0
039020084MM;M;2015;5;7;29/04/2015;51502;;0;0;0;0;0
039020084MM;M;2015;6;7;29/04/2015;61502;;0;0;0;0;0
039020084MM;M;2015;7;7;29/04/2015;71502;;0;0;0;0;0
039020084MM;M;2015;8;7;29/04/2015;81502;;0;0;0;0;0
039020084MM;M;2015;9;7;29/04/2015;91502;;0;0;0;0;0
039020084MM;M;2015;10;7;29/04/2015;101502;;0;0;0;0;0
039020084MM;M;2015;11;7;29/04/2015;111502;;0;0;0;0;0
039020084MM;M;2015;12;7;29/04/2015;121502;;0;0;0;0;0
039020084MM;M;2015;1;9;12/02/2015;11502;;0;0;0;0;0
039020084MM;M;2015;2;9;27/02/2015;21502;;0;0;0;0;0
055020059MM;M;2015;1;6;03/02/2015;11502;T;65;142;2;0;13
055020059MM;M;2015;2;6;03/03/2015;21502;T;42;72;1;0;13
055020059MM;M;2015;3;6;06/04/2015;31502;T;51;21;1;0;13
055020059MM;M;2015;4;6;04/05/2015;41502;T;50;154;3;0;13
055020059MM;M;2015;5;6;05/06/2015;51502;T;40;41;1;0;13
055020059MM;M;2015;6;6;01/07/2015;61502;T;91;71;1;0;13
055020059MM;M;2015;7;6;03/08/2015;71502;T;44;24;1;0;13
055020059MM;M;2015;8;6;01/09/2015;81502;T;56;57;1;0;13
055020059MM;M;2015;9;6;01/10/2015;91502;T;7;404;2;0;13
055020059MM;M;2015;10;6;04/11/2015;101502;T;51;171;1;0;13
055020059MM;M;2015;11;6;01/12/2015;111502;T;51;73;2;0;13
055020059MM;M;2015;12;6;07/01/2016;121502;T;45;69;1;0;13
055020077MM;M;2015;1;6;09/02/2015;11502;W;0;14;1;0;0
055020077MM;M;2015;2;6;09/03/2015;21502;W;0;14;1;0;0
055020077MM;M;2015;3;6;07/04/2015;31502;W;0;23;1;0;0
055020077MM;M;2015;4;6;08/05/2015;41502;W;0;27;1;0;0
055020077MM;M;2015;5;6;08/06/2015;51502;W;0;53;3;0;0
055020077MM;M;2015;6;6;06/07/2015;61502;W;0;263;1;0;0
055020077MM;M;2015;7;6;06/08/2015;71502;W;0;12;1;0;0
055020077MM;M;2015;8;6;07/09/2015;81502;W;0;11;1;0;0
055020077MM;M;2015;9;6;09/10/2015;91502;W;0;12;1;0;0
055020077MM;M;2015;10;6;05/11/2015;101502;W;0;15;1;0;0
055020077MM;M;2015;11;6;09/12/2015;111502;W;0;26;1;0;0
055020077MM;M;2015;12;6;08/01/2016;121502;W;0;15;1;0;0
062020098MM;M;2015;1;6;02/02/2015;11502;T;31;73;1;0;11
062020098MM;M;2015;2;6;02/03/2015;21502;T;38;610;1;0;11
062020098MM;M;2015;3;6;30/03/2015;31502;T;97;77;3;0;11
062020098MM;M;2015;4;6;06/05/2015;41502;T;37;142;1;0;11
062020098MM;M;2015;5;6;02/06/2015;51502;T;38;49;2;0;11
062020098MM;M;2015;6;6;07/07/2015;61502;T;19;17;1;0;11
062020098MM;M;2015;7;6;30/07/2015;71502;T;18;36;1;0;11
062020098MM;M;2015;8;6;08/09/2015;81502;T;24;47;1;0;11
062020098MM;M;2015;9;6;05/10/2015;91502;T;29;41;2;0;11
062020098MM;M;2015;10;6;05/11/2015;101502;T;23;59;1;0;11
062020098MM;M;2015;11;6;03/12/2015;111502;T;23;39;1;0;11
062020098MM;M;2015;12;6;11/01/2016;121502;T;16;48;2;0;11
066020098MM;M;2015;9;6;18/11/2015;101502;T;24;10;1;1;0
066020098MM;M;2015;10;6;18/11/2015;101502;T;19;11;1;1;0
066020098MM;M;2015;11;6;02/12/2015;111502;W;0;56;1;1;0
066020098MM;M;2015;12;6;11/01/2016;121502;W;0;18;3;1;0
073020033MM;M;2015;1;6;06/02/2015;11502;F;41;30;1;1;11
073020033MM;M;2015;2;6;06/03/2015;21502;F;37;22;1;1;11
073020033MM;M;2015;3;6;08/04/2015;31502;F;64;204;1;1;11
073020033MM;M;2015;4;6;06/05/2015;41502;F;38;12;1;1;11
073020033MM;M;2015;5;6;04/06/2015;51502;E;42;54;2;1;11
073020033MM;M;2015;6;6;07/07/2015;61502;F;278;40;1;1;11
073020033MM;M;2015;7;6;10/08/2015;71502;E;27;15;1;1;11
073020033MM;M;2015;8;6;08/09/2015;81502;F;153;13;1;1;11
073020033MM;M;2015;9;6;07/10/2015;91502;E;44;22;1;1;11
073020033MM;M;2015;10;6;06/11/2015;101502;E;40;11;2;1;11
073020033MM;M;2015;11;6;04/12/2015;111502;E;33;305;1;1;11
073020033MM;M;2015;12;6;11/01/2016;121502;E;36;40;1;1;11
076020053MM;M;2015;1;6;03/02/2015;11502;W;0;48;3;1;11
076020053MM;M;2015;2;6;03/03/2015;21502;W;0;68;1;1;11
076020053MM;M;2015;3;6;01/04/2015;31502;W;0;8;1;1;11
076020053MM;M;2015;4;6;04/05/2015;41502;W;0;24;1;1;11
076020053MM;M;2015;5;6;02/06/2015;51502;W;0;13;1;1;11
076020053MM;M;2015;6;6;01/07/2015;61502;W;0;50;1;1;11
076020053MM;M;2015;7;6;14/08/2015;71502;W;0;51;2;1;11
076020053MM;M;2015;8;6;04/09/2015;81502;W;0;21;1;1;11
076020053MM;M;2015;9;6;07/10/2015;91502;W;0;11;1;1;11
076020053MM;M;2015;10;6;16/11/2015;101502;W;0;80;2;1;11
076020053MM;M;2015;11;6;15/12/2015;111502;W;0;70;2;1;11
076020053MM;M;2015;12;6;18/01/2016;121502;W;0;57;2;1;11
075020099MM;M;2015;1;6;05/02/2015;11502;W;0;45;1;0;11
075020099MM;M;2015;2;6;05/03/2015;21502;W;0;18;1;0;11
075020099MM;M;2015;3;6;10/04/2015;31502;W;0;25;1;0;11
075020099MM;M;2015;4;6;05/05/2015;41502;W;0;35;2;0;11
075020099MM;M;2015;5;6;09/06/2015;51502;W;0;410;10;0;11
075020099MM;M;2015;6;6;07/07/2015;61502;W;0;8;1;0;11
075020099MM;M;2015;7;6;14/08/2015;71502;W;0;91;2;0;11
075020099MM;M;2015;8;6;07/09/2015;81502;W;0;84;1;0;11
075020099MM;M;2015;9;6;07/10/2015;91502;W;0;26;1;0;11
075020099MM;M;2015;10;6;04/11/2015;101502;W;0;15;1;0;11
075020099MM;M;2015;11;6;04/12/2015;111502;W;0;19;1;0;11
075020099MM;M;2015;12;6;11/01/2016;121502;W;0;55;1;0;11
088020010MM;M;2015;1;6;09/02/2015;11502;W;0;30;1;0;0
088020010MM;M;2015;2;6;12/03/2015;21502;W;0;9;6;0;0
088020010MM;M;2015;3;6;13/04/2015;31502;W;0;44;1;0;0
088020010MM;M;2015;4;6;07/05/2015;41502;W;0;44;1;0;0
088020010MM;M;2015;5;6;08/06/2015;51502;W;0;10;1;0;0
088020010MM;M;2015;6;6;08/07/2015;61502;W;0;10;1;0;0
088020010MM;M;2015;7;6;04/08/2015;71502;W;0;9;1;0;0
088020010MM;M;2015;8;6;15/09/2015;81502;W;0;112;2;0;0
088020010MM;M;2015;9;6;07/10/2015;91502;W;0;21;1;0;0
088020010MM;M;2015;10;6;16/11/2015;101502;W;0;63;2;0;0
088020010MM;M;2015;11;6;12/12/2015;111502;W;0;12;1;0;0
088020010MM;M;2015;12;6;11/01/2016;121502;W;0;13;1;0;0
078020349MM;M;2015;1;6;11/02/2015;11502;W;0;22;1;0;12
078020349MM;M;2015;2;6;16/03/2015;21502;W;0;83;2;0;12
078020349MM;M;2015;3;6;16/04/2015;31502;W;0;17;1;0;12
078020349MM;M;2015;4;6;15/05/2015;41502;W;0;24;1;0;12
078020349MM;M;2015;5;6;16/06/2015;51502;W;0;68;1;0;12
078020349MM;M;2015;6;6;02/07/2015;61502;W;0;50;1;0;12
078020349MM;M;2015;7;6;12/08/2015;71502;W;0;35;1;0;12
078020349MM;M;2015;8;6;11/09/2015;81502;W;0;74;1;0;12
078020349MM;M;2015;9;6;15/10/2015;91502;W;0;11;1;0;12
078020349MM;M;2015;10;6;16/11/2015;101502;W;0;10;1;0;12
078020349MM;M;2015;11;6;21/12/2015;121502;W;0;33;1;0;12
078020349MM;M;2015;12;6;12/01/2016;121502;W;0;174;1;0;12
005020795SS;S;2015;1;6;16/02/2015;11502;W;0;16;1;0;12
005020795SS;S;2015;2;6;09/03/2015;21502;W;0;15;1;0;12
005020795SS;S;2015;3;6;24/04/2015;31502;W;0;4;1;0;12
005020795SS;S;2015;4;6;08/05/2015;41502;W;0;7;1;0;12
005020795SS;S;2015;5;6;10/06/2015;51502;W;0;21;1;0;12
005020795SS;S;2015;6;6;20/07/2015;61502;W;0;40;2;0;12
005020795SS;S;2015;7;6;19/08/2015;71502;W;0;5;2;0;12
005020795SS;S;2015;8;6;08/09/2015;81502;W;0;13;1;0;12
005020795SS;S;2015;9;6;13/10/2015;91502;W;0;44;2;0;12
005020795SS;S;2015;10;6;05/11/2015;101502;W;0;12;1;0;12
005020795SS;S;2015;11;6;10/12/2015;111502;W;0;10;1;0;12
005020795SS;S;2015;12;6;11/01/2016;121502;W;0;11;1;0;12
015020739MM;M;2015;5;6;05/06/2015;51502;W;0;20;1;0;0
015020739MM;M;2015;6;6;06/07/2015;61502;W;0;12;1;0;0
015020739MM;M;2015;7;6;07/08/2015;71502;W;0;83;1;0;0
015020739MM;M;2015;8;6;08/09/2015;81502;W;0;13;1;0;0
015020739MM;M;2015;9;6;07/10/2015;91502;W;0;9;1;0;0
015020739MM;M;2015;10;6;09/11/2015;101502;W;0;9;1;0;0
015020739MM;M;2015;11;6;09/12/2015;111502;W;0;19;1;0;0
015020739MM;M;2015;12;6;11/01/2016;121502;W;0;12;1;0;0
063030813MM;M;2015;1;6;09/02/2015;11502;T;40;42;1;0;12
063030813MM;M;2015;2;6;09/03/2015;21502;T;36;30;1;0;12
063030813MM;M;2015;3;6;14/04/2015;31502;T;37;64;1;0;12
063030813MM;M;2015;4;6;06/05/2015;41502;T;34;36;1;0;12
063030813MM;M;2015;5;6;15/06/2015;51502;T;31;35;2;0;12
063030813MM;M;2015;6;6;10/07/2015;61502;T;32;52;1;0;12
063030813MM;M;2015;7;6;10/08/2015;71502;T;61;72;2;0;12
063030813MM;M;2015;8;6;14/09/2015;81502;T;35;13;2;0;12
063030813MM;M;2015;9;6;08/10/2015;91502;T;47;214;2;0;12
063030813MM;M;2015;10;6;04/11/2015;101502;T;46;40;2;0;12
063030813MM;M;2015;11;6;10/12/2015;111502;T;45;31;1;0;12
